,id,time_int,exact_distance
275,KOUG_K4_T17_18,2,130
276,KOUG_K4_T17_18,4,175
277,KOUG_K4_T17_18,9,220
278,KOUG_K4_T17_18,9,400
279,KOUG_K4_T17_18,9,150
280,KOUG_K4_T17_18,9,400
281,KOUG_K4_T17_14,0,400
282,KOUG_K4_T17_14,1,375
283,KOUG_K4_T17_11,1,300
284,KOUG_K4_T17_8,7,250
285,KOUG_K4_T17_10,0,350
286,KOUG_K4_T17_10,2,400
287,KOUG_K4_T17_10,2,400
288,KOUG_K4_T17_10,5,250
289,KOUG_K4_T17_13,1,300
290,KOUG_K4_T17_13,4,250
291,KOUG_K4_T17_17,0,92
292,KOUG_K4_T17_17,5,160
293,TELL_T4_T11_16,0,300
294,TELL_T4_T11_16,1,150
295,TELL_T4_T11_16,3,320
296,TELL_T4_T11_21,2,375
297,TELL_T4_T11_25,0,170
298,TELL_T4_T11_25,2,133
299,TELL_T4_T11_25,9,200
300,TELL_T4_T11_30,0,400
301,TELL_T4_T11_30,0,145
302,TELL_T4_T11_30,1,123
303,TELL_T4_T11_30,5,400
304,TELL_T4_T11_30,9,212
305,TELL_T4_T11_33,0,211
306,TELL_T4_T11_33,1,232
307,TELL_T4_T11_33,1,130
308,TELL_T4_T11_33,3,219
309,TELL_T4_T11_33,8,220
310,TELL_T4_T11_32,0,253
311,TELL_T4_T11_32,3,354
312,TELL_T4_T11_32,4,220
313,TELL_T4_T11_32,6,130
314,TELL_T4_T11_32,7,250
315,TELL_T4_T11_32,8,148
316,TELL_T4_T11_28,0,127
317,TELL_T4_T11_28,1,211
318,TELL_T4_T11_28,2,350
319,TELL_T4_T11_28,4,262
320,TELL_T4_T11_23,0,143
321,TELL_T4_T11_23,2,300
322,TELL_T4_T11_23,5,300
323,TELL_T4_T11_23,9,400
324,TELL_T4_T11_19,0,200
325,TELL_T4_T11_19,5,300
326,TELL_T4_T11_14,0,110
327,TELL_T4_T11_14,0,110
328,TELL_T4_T11_14,6,200
329,TELL_T4_T11_9,0,101
330,TELL_T4_T11_9,1,125
331,TELL_T4_T11_9,2,200
332,TELL_T4_T11_9,6,149
333,TELL_T4_T11_4,0,83
334,TELL_T4_T11_4,8,350
335,TELL_T4_T11_10,0,69
336,TELL_T4_T11_10,8,150
337,TELL_T4_T14_25,0,100
338,TELL_T4_T14_25,0,90
339,TELL_T4_T14_25,0,78
340,TELL_T4_T14_25,6,300
341,TELL_T4_T14_25,7,200
342,TELL_T4_T14_30,0,250
343,TELL_T4_T14_30,3,250
344,TELL_T4_T14_30,9,200
345,TELL_T4_T14_29,1,150
346,TELL_T4_T14_29,7,122
347,TELL_T4_T14_29,8,80
348,TELL_T4_T14_23,0,118
349,TELL_T4_T14_23,1,137
350,TELL_T4_T14_23,9,125
351,TELL_T4_T14_18,1,250
352,TELL_T4_T14_18,3,261
353,TELL_T4_T14_18,3,261
354,TELL_T4_T14_18,4,250
355,TELL_T4_T14_18,7,250
356,TELL_T4_T14_18,7,250
357,TELL_T4_T14_18,9,120
358,TELL_T4_T14_18,9,137
359,TELL_T4_T14_19,0,144
360,TELL_T4_T14_19,4,216
361,TELL_T4_T14_19,4,216
362,TELL_T4_T14_19,5,60
363,TELL_T4_T14_7,8,305
364,TELL_T4_T14_3,5,250
365,TELL_T4_T14_3,9,160
366,KOUG_K3_T17_1,7,300
367,KOUG_K3_T17_2,2,375
368,KOUG_K3_T17_2,7,375
369,KOUG_K3_T17_2,8,317
370,KOUG_K3_T17_5,6,200
371,KOUG_K3_T17_11,4,200
372,KOUG_K3_T17_13,1,250
373,KOUG_K3_T17_12,4,375
374,KOUG_K3_T17_9,7,280
375,KOUG_K3_T17_6,5,260
376,KOUG_K3_T17_4,1,150
377,KOUG_K3_T17_4,5,127
378,COUN_C5_T14_28,0,75
379,TELL_T3_T19_16,1,230
380,TELL_T3_T19_15,0,200
381,TELL_T3_T19_15,6,200
382,TELL_T3_T19_14,8,139
383,TELL_T3_T19_11,8,350
384,TELL_T3_T19_8,5,400
385,TELL_T3_T19_10,2,183
386,TELL_T3_T19_10,3,100
387,TELL_T3_T19_13,2,140
388,TELL_T3_T19_13,8,375
389,TELL_T3_T19_20,0,75
390,TELL_T3_T19_20,5,350
391,TELL_T3_T19_23,0,75
392,TELL_T3_T19_23,5,232
393,KOUG_K2_T2_6,0,260
394,KOUG_K2_T2_3,0,225
395,KOUG_K2_T2_3,2,250
396,TELL_T5_T13_9,5,350
397,TELL_T5_T13_17,3,400
398,TELL_T5_T13_20,0,150
399,TELL_T5_T13_18,0,125
400,TELL_T5_T13_18,7,350
401,TELL_T5_T13_11,3,400
402,TELL_T5_T13_11,4,200
403,TELL_T5_T13_11,5,200
404,TELL_T5_T13_5,0,80
405,TELL_T5_T13_5,0,300
406,TELL_T5_T13_2,3,350
407,TELL_T5_T13_6,2,350
408,TELL_T1_T15_27,0,300
409,TELL_T1_T15_27,5,400
410,TELL_T1_T15_27,6,250
411,TELL_T1_T15_25,1,320
412,TELL_T1_T15_25,5,310
413,TELL_T1_T15_25,9,300
414,TELL_T1_T15_22,3,200
415,TELL_T1_T15_18,7,350
416,TELL_T1_T15_14,9,400
417,TELL_T1_T15_17,2,150
418,TELL_T1_T15_17,5,109
419,TELL_T1_T15_13,6,380
420,TELL_T2_T21_16,3,375
421,TELL_T2_T21_20,0,101
422,TELL_T2_T21_20,6,175
423,TELL_T2_T21_22,5,250
424,TELL_T2_T21_18,3,150
425,TELL_T2_T21_7,0,121
426,TELL_T2_T21_7,5,330
427,TELL_T4_T21_11,0,124
428,TELL_T4_T21_16,0,74
429,TELL_T4_T21_16,0,74
430,TELL_T4_T21_22,0,344
431,TELL_T4_T21_24,0,43
432,KOUG_K5_T27_2,5,350
433,KOUG_K5_T27_3,5,182
434,KOUG_K5_T27_6,2,150
435,KOUG_K5_T27_6,9,300
436,KOUG_K5_T27_9,9,300
437,KOUG_K5_T27_13,0,132
438,KOUG_K5_T27_13,1,375
439,KOUG_K5_T27_13,4,375
440,COUN_C4_T16_15,7,330
441,COUN_C4_T16_10,1,130
442,COUN_C4_T16_5,3,400
443,COUN_C4_T16_9,6,350
444,COUN_C4_T16_13,0,234
445,COUN_C4_T16_13,6,220
446,TELL_T4_T16_7,4,195
447,TELL_T4_T16_17,6,242
448,TELL_T4_T16_14,4,120
449,TELL_T4_T16_10,9,400
450,TELL_T4_T16_9,9,132
451,KOUG_K1_T28_26,0,150
452,KOUG_K1_T28_17,5,101
453,KOUG_K2_T7_10,2,250
454,KOUG_K5_T17_12,1,300
455,KOUG_K5_T17_9,2,350
456,KOUG_K5_T17_9,6,75
457,TELL_T2_T2_31,9,350
458,TELL_T2_T2_36,5,75
459,TELL_T2_T2_30,1,200
460,TELL_T2_T2_25,1,250
461,TELL_T2_T2_9,8,400
462,COUN_C3_T3_11,4,320
463,KOUG_K1_T9_9,1,300
464,KOUG_K1_T9_9,8,125
465,KOUG_K1_T9_13,1,150
466,KOUG_K1_T9_18,1,160
467,KOUG_K1_T9_18,8,220
468,KOUG_K1_T9_23,2,200
469,TELL_T1_T7_17,1,235
470,KOUG_K4_T11_6,5,400
471,TELL_T4_T11_27,3,300
472,TELL_T4_T15_1,2,350
473,TELL_T4_T15_2,6,350
474,TELL_T4_T15_12,9,175
475,TELL_T4_T15_12,9,325
476,COUN_C2_T21_1,5,400
477,K4_T16_13,2,320
478,T3_T11_26,3,150
479,T3_T11_26,5,340
480,T3_T11_4,2,233
481,T3_T11_4,7,230
482,T3_T11_5,2,300
483,T3_T11_5,5,124
484,T3_T11_5,7,92
485,T3_T11_7,7,54
