,id,1,2,3,4,5,barren,decforest,egforest,fen,littoral,lowshrub,mixforest,openshrub,sparseveg,tallshrub,tundra,tussock,water,woodland,elev,observer,second_observer,date,start_time,tempf,sky,wind,hear,noise_distance_m,noise_direction,julian,min_after_sun,year
35,COUN_2_15_1,0,0,0,0,0,-0.02773826,-0.188020566,-0.165889998,-0.356370497,-0.172633637,0.053520525,-0.207377386,0.427238284,1.323438747,-0.797479791,-1.017210402,2.952959099,-0.101142573,-0.25807982,-0.179197891,KW,DS,6/28/2019,4:34:00,1.06019106,0,-0.295375767,0,1000,1000,0.841403969,-1.2430451,2019
36,COUN_2_15_12,0,0,0,0,0,1.683386904,-0.188020566,0.110085082,0.204164527,-0.172633637,0.002325056,0.005689555,0.953743109,1.194338301,-0.512472998,-1.28102623,0.499751729,-0.101142573,4.181238387,-1.531831736,KW,DS,6/28/2019,7:21:00,2.323696241,0,-0.58326297,0,1000,1000,0.841403969,0.159867942,2019
37,COUN_2_15_13,0,0,0,0,0,0.164701195,-0.188020566,-0.165889998,0.311782977,-0.172633637,-0.443380345,-0.207377386,0.945199816,0.954278015,-0.604249438,-0.270364575,0.666579118,-0.101142573,-0.25807982,-1.386484614,KW,DS,6/28/2019,6:23:00,1.51964749,0,-1.159037376,0,1000,1000,0.841403969,-0.327371318,2019
38,COUN_2_15_16,0,0,0,0,0,1.972481875,-0.188020566,0.661241449,0.70762494,-0.172633637,0.123497142,-0.085741582,0.515768172,0.412047951,-0.372639277,-0.802969405,0.014834174,-0.101142573,2.232845362,-1.317857095,KW,DS,6/28/2019,8:06:00,2.553424456,0,-0.58326297,0,1000,1000,0.841403969,0.537898403,2019
39,COUN_2_15_17,0,0,0,0,0,1.272877144,-0.188020566,-0.074686055,11.2584912,-0.172633637,-0.640992212,-0.207377386,6.917825595,0.176718595,0.189259327,-1.937074614,-0.001600003,-0.101142573,-0.25807982,-1.339728903,KW,DS,6/28/2019,6:49:00,1.979103919,0,-1.159037376,0,1000,1000,0.841403969,-0.108953718,2019
40,COUN_2_15_2,0,0,0,0,0,0.155675218,-0.188020566,0.01774093,-0.076639895,-0.172633637,-0.624130344,-0.207377386,0.888957748,-0.191803176,-0.404652968,-0.44364095,2.199943997,-0.101142573,3.32298884,-0.915861517,KW,DS,6/28/2019,5:04:00,0.830462846,0,-0.007488564,1,100,160,0.841403969,-0.991024793,2019
41,COUN_2_15_4,0,0,0,0,0,0.343861608,-0.188020566,-0.165889998,-0.356370497,-0.172633637,0.72142681,-0.207377386,-0.264018112,0.433655059,-0.738612371,-0.542677159,2.230363508,-0.101142573,-0.136337829,-0.927400634,KW,DS,6/28/2019,9:24:00,2.093968027,0,-0.007488564,0,1000,1000,0.841403969,1.193151201,2019
42,COUN_2_15_5,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,0.311782977,-0.172633637,0.405881723,-0.207377386,-0.078387979,-0.57189776,-0.298675856,-0.61856453,3.814876964,-0.101142573,-0.25807982,-1.212317974,KW,DS,6/28/2019,5:29:00,0.830462846,0,-0.58326297,1,293,266,0.841403969,-0.781007871,2019
43,COUN_2_15_7,0,0,0,0,0,0.036964842,-0.188020566,0.199273219,1.034290206,-0.172633637,-0.019572575,0.064478637,-0.233565661,-0.187459238,-0.007336696,-0.577386248,0.818163829,-0.101142573,6.380337048,-1.032791636,KW,DS,6/28/2019,8:42:00,3.012880885,0,-0.871150173,1,64,93,0.841403969,0.840322771,2019
44,COUN_2_15_8,0,0,0,0,0,-0.029427248,-0.188020566,0.018270126,10.6967771,-0.172633637,-0.424718607,-0.207377386,4.049334909,-0.57189776,0.04024888,-1.520117006,2.373566284,-0.101142573,0.533243123,-1.309170766,KW,DS,6/28/2019,5:54:00,1.404783382,0,-0.58326297,0,1000,1000,0.841403969,-0.570990948,2019
45,COUN_2_17_10,0,0,0,0,0,-0.112876274,-0.188020566,-0.165889998,0.200955357,-0.172633637,-0.792097584,-0.025794165,-0.233388247,-0.552312734,2.531052832,-1.331990652,-0.295004405,-0.101142573,-0.197615406,0.161815789,KW,DS,6/11/2019,7:55:00,0.830462846,1,-0.295375767,1,150,99,0.063497817,0.428689603,2019
46,COUN_2_17_11,0,0,0,0,0,-0.134179189,-0.188020566,-0.165889998,-0.356370497,-0.172633637,0.248774073,-0.207377386,-0.326530475,1.309570431,-0.453000885,-0.021520499,-0.699774999,-0.101142573,-0.25807982,0.713092992,KW,DS,6/11/2019,6:57:00,0.830462846,1,1.144060248,1,1000,1000,0.063497817,-0.058549657,2019
47,COUN_2_17_13,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.867865418,-0.207377386,-0.326530475,-0.558727977,0.672501622,0.188547932,0.08384858,-0.101142573,-0.25807982,2.45113824,KW,DS,6/11/2019,6:22:00,0.715598738,1,0.568285842,0,1000,1000,0.063497817,-0.352573349,2019
48,COUN_2_17_14,0,0,0,0,0,1.02449342,-0.188020566,-0.165889998,-0.075022956,-0.172633637,-0.254806413,-0.207377386,1.178102346,-0.005051502,0.501346468,-0.753597954,0.051471833,-0.101142573,0.10820172,1.312994721,KW,DS,6/11/2019,9:55:00,1.634511597,1,0.856173045,0,1000,1000,0.063497817,1.436770832,2019
49,COUN_2_17_15,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.883176773,-0.207377386,-0.326530475,-0.447025188,-0.398992639,0.531432563,1.45927164,-0.101142573,-0.25807982,2.031057947,KW,DS,6/11/2019,5:51:00,0.715598738,1,0.568285842,0,1000,1000,0.063497817,-0.612994333,2019
50,COUN_2_17_17,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.188209989,-0.172633637,-0.776305863,-0.207377386,-0.139173365,-0.558765893,0.270164703,-0.737332917,3.746234554,-0.101142573,-0.25807982,2.168137495,KW,DS,6/11/2019,5:15:00,0.600734631,1,-0.58326297,0,1000,1000,0.063497817,-0.915418701,2019
51,COUN_2_17_19,0,0,0,0,0,0.822137955,-0.188020566,1.399471053,0.148595637,-0.172633637,-0.638665751,1.651132413,0.26733697,-0.309008134,0.868921026,-1.00454434,0.027243885,-0.101142573,1.750663036,1.919552976,KW,DS,6/11/2019,4:25:00,-0.66277055,1,-0.295375767,1,64,6,0.063497817,-1.335452546,2019
52,COUN_2_17_7,0,0,0,0,0,-0.123241573,0.391128005,-0.165889998,-0.132371457,-0.172633637,-0.883176773,-0.207377386,-0.108156752,-0.316071875,0.675903269,-0.177606865,0.410635282,-0.101142573,-0.25807982,2.275825921,KW,DS,6/11/2019,8:31:00,0.830462846,2,0.280398639,0,1000,1000,0.063497817,0.731113972,2019
53,COUN_2_17_8,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.045085383,-0.207377386,-0.326530475,-0.25078337,0.064933119,0.25252413,0.255785892,-0.101142573,-0.25807982,2.429451649,KW,DS,6/11/2019,7:26:00,0.945326953,1,0.856173045,0,1000,1000,0.063497817,0.185069973,2019
