"","id","barren","decforest","egforest","fen","littoral","lowshrub","mixforest","openshrub","sparseveg","tallshrub","tundra","tussock","water","woodland","elev","observer","second_observer","date","start_time","tempf","sky","wind","hear","noise_distance_m","noise_direction","julian","min_after_sun","year"
"27","COUN_2_1_12",0.0200381679389313,0,0,0.00381679389312977,0,0.0811068702290076,0,0,0.125954198473282,0.105916030534351,0.634541984732824,0.0286259541984733,0,0,233.412186564423,"KW","DS","2019-06-20","05:24:00","55","1",2,0,1000,"1000",171,65,2019
"28","COUN_2_1_13",0.0719769673704415,0,0,0,0,0.228406909788868,0,0,0.196737044145873,0.00287907869481766,0.401151631477927,0.0988483685220729,0,0,196.998135017733,"KW","DS","2019-06-20","07:37:00","58","0",2,0,1000,"1000",171,198,2019
"29","COUN_2_1_16",0.235067437379576,0,0,0.00578034682080925,0,0.0144508670520231,0,0.010597302504817,0.287090558766859,0.134874759152216,0.250481695568401,0.0539499036608863,0,0.00770712909441233,159.789303818144,"KW","DS","2019-06-20","06:01:00","54","1",6,0,1000,"1000",171,102,2019
"30","COUN_2_1_17",0.0971153846153846,0,0,0,0,0.0461538461538462,0,0.00192307692307692,0.239423076923077,0.0182692307692308,0.581730769230769,0.0153846153846154,0,0,193.464341863724,"KW","DS","2019-06-20","07:09:00","57","0",0,0,1000,"1000",171,170,2019
"31","COUN_2_1_19",0.190384615384615,0,0.00961538461538462,0.0278846153846154,0,0.0701923076923077,0.00673076923076923,0.025,0.234615384615385,0.144230769230769,0.163461538461538,0.0846153846153846,0,0.0432692307692308,177.583402771154,"KW","DS","2019-06-20","06:31:00","54","1",4,0,1000,"1000",171,132,2019
"32","COUN_2_1_2",0.00288184438040346,0.00384245917387128,0.00192122958693564,0.00960614793467819,0,0.0220941402497598,0.0509125840537944,0.0249759846301633,0,0.591738712776177,0.245917387127762,0.0220941402497598,0,0.0240153698366955,123.856491670954,"KW","DS","2019-06-20","09:37:00","63","0",3,2,50,"210",171,318,2019
"33","COUN_2_1_5",0.0114285714285714,0,0.00476190476190476,0.000952380952380952,0,0.00571428571428571,0.0247619047619048,0,0,0.259047619047619,0.5,0.15047619047619,0,0.0428571428571429,126.392666253067,"KW","DS","2019-06-20","04:18:00","50","1",3,1,300,"159",171,-1,2019
"34","COUN_2_1_6",0,0,0,0,0,0.0355086372360845,0,0,0.00575815738963532,0.239923224568138,0.714011516314779,0.00479846449136276,0,0,168.623385983089,"KW","DS","2019-06-20","08:56:00","62","0",2,0,1000,"1000",171,277,2019
"35","COUN_2_1_9",0,0,0,0,0,0.127290260366442,0,0,0.055930568948891,0.0279652844744455,0.715525554484089,0.0732883317261331,0,0,211.416384574305,"KW","DS","2019-06-20","04:49:00","56","1",2,0,1000,"1000",171,30,2019
"36","COUN_2_15_1",0.028957528957529,0,0,0,0,0.0588803088803089,0,0.0231660231660232,0.277027027027027,0,0.292471042471042,0.31949806949807,0,0,166.365840870488,"KW","DS","2019-06-28","04:34:00","56","0",3,0,1000,"1000",179,9,2019
"37","COUN_2_15_12",0.169865642994242,0,0.00287907869481766,0.00959692898272553,0,0.0556621880998081,0.00671785028790787,0.0393474088291747,0.258157389635317,0.0604606525911708,0.22168905950096,0.105566218809981,0,0.0700575815738964,25.2727364596651,"KW","DS","2019-06-28","07:21:00","67","0",2,0,1000,"1000",179,176,2019
"38","COUN_2_15_13",0.0448045757864633,0,0,0.0114394661582459,0,0.0276453765490944,0,0.0390848427073403,0.223069590085796,0.0409914204003813,0.492850333651096,0.120114394661582,0,0,40.4338805768064,"KW","DS","2019-06-28","06:23:00","60","0",0,0,1000,"1000",179,118,2019
"39","COUN_2_15_16",0.193672099712368,0,0.00862895493767977,0.0182166826462128,0,0.0632790028763183,0.00383509108341323,0.0258868648130393,0.143815915627996,0.0901246404602109,0.349952061361457,0.0632790028763183,0,0.0393096836049856,47.5924103641861,"KW","DS","2019-06-28","08:06:00","69","0",2,0,1000,"1000",179,221,2019
"40","COUN_2_15_17",0.136060894386299,0,0.000951474785918173,0.198858230256898,0,0.0152235965746908,0,0.222645099904853,0.10941960038059,0.209324452901998,0.0456707897240723,0.0618458610846813,0,0,45.310964224973,"KW","DS","2019-06-28","06:49:00","64","0",0,0,1000,"1000",179,144,2019
"41","COUN_2_15_2",0.0440613026819923,0,0.00191570881226054,0.00478927203065134,0,0.0162835249042146,0,0.0373563218390805,0.0555555555555556,0.0833333333333333,0.446360153256705,0.253831417624521,0,0.0565134099616858,89.5245298854556,"KW","DS","2019-06-28","05:04:00","54","0",4,1,100,"160",179,39,2019
"42","COUN_2_15_4",0.0595581171950048,0,0,0,0,0.100864553314121,0,0.00192122958693564,0.146974063400576,0.0124879923150817,0.419788664745437,0.256484149855908,0,0.00192122958693564,88.3208857404088,"KW","DS","2019-06-28","09:24:00","65","0",4,0,1000,"1000",179,299,2019
"43","COUN_2_15_5",0,0,0,0.0114394661582459,0,0.0810295519542421,0,0.00762631077216397,0,0.105815061963775,0.399428026692088,0.394661582459485,0,0,58.6011858205189,"KW","DS","2019-06-28","05:29:00","54","0",2,1,293,"266",179,64,2019
"44","COUN_2_15_7",0.0342857142857143,0,0.00380952380952381,0.0238095238095238,0,0.0542857142857143,0.00857142857142857,0.00285714285714286,0.0561904761904762,0.167619047619048,0.41047619047619,0.133333333333333,0,0.104761904761905,77.3275605992353,"KW","DS","2019-06-28","08:42:00","73","0",1,1,64,"93",179,257,2019
"45","COUN_2_15_8",0.0288184438040346,0,0.00192122958693564,0.18924111431316,0,0.0288184438040346,0,0.134486071085495,0,0.177713736791547,0.157540826128722,0.268972142170989,0,0.0124879923150817,48.4984805404734,"KW","DS","2019-06-28","05:54:00","59","0",2,0,1000,"1000",179,89,2019
"46","COUN_2_17_10",0.0219465648854962,0,0,0.00954198473282443,0,0.00572519083969466,0.00572519083969466,0.00286259541984733,0.00286259541984733,0.706106870229008,0.208015267175573,0.0362595419847328,0,0.000954198473282443,201.936944513435,"KW","DS","2019-06-11","07:55:00","54","1",3,1,150,"99",162,208,2019
"47","COUN_2_17_11",0.0201923076923077,0,0,0,0,0.0711538461538462,0,0,0.275,0.0730769230769231,0.559615384615385,0.000961538461538462,0,0,259.440615761516,"KW","DS","2019-06-11","06:57:00","54","1",8,1,1000,"1000",162,150,2019
"48","COUN_2_17_13",0,0,0,0,0,0.000962463907603465,0,0,0.00192492781520693,0.311838306063523,0.615976900866217,0.0692974013474495,0,0,440.735946053852,"KW","DS","2019-06-11","06:22:00","53","1",6,0,1000,"1000",162,115,2019
"49","COUN_2_17_14",0.115606936416185,0,0,0.00481695568400771,0,0.0394990366088632,0,0.046242774566474,0.0828516377649326,0.275529865125241,0.363198458574181,0.0664739884393064,0,0.00578034682080925,322.016306602773,"KW","DS","2019-06-11","09:55:00","61","1",7,0,1000,"1000",162,328,2019
"50","COUN_2_17_15",0,0,0,0,0,0,0,0,0.0182516810758886,0.0845341018251681,0.707973102785783,0.18924111431316,0,0,396.917411617024,"KW","DS","2019-06-11","05:51:00","53","1",6,0,1000,"1000",162,84,2019
"51","COUN_2_17_17",0,0,0,0.00287907869481766,0,0.00671785028790787,0,0.00575815738963532,0.00191938579654511,0.226487523992322,0.367562380038388,0.388675623800384,0,0,411.216165861016,"KW","DS","2019-06-11","05:15:00","52","1",2,0,1000,"1000",162,48,2019
"52","COUN_2_17_19",0.0989433237271854,0,0.0163304514889529,0.00864553314121038,0,0.0153698366954851,0.058597502401537,0.0182516810758886,0.0384245917387128,0.353506243996158,0.295869356388088,0.0643611911623439,0,0.031700288184438,385.286339001564,"KW","DS","2019-06-11","04:25:00","41","1",3,1,64,"6",162,-2,2019
"53","COUN_2_17_7",0.0210930009587728,0.00287631831255992,0,0.00383509108341323,0,0,0,0.00671140939597315,0.037392138063279,0.312559923298178,0.517737296260786,0.0977948226270374,0,0,422.449135164976,"KW","DS","2019-06-11","08:31:00","54","2",5,0,1000,"1000",162,244,2019
"54","COUN_2_17_8",0,0,0,0,0,0.0526819923371648,0,0,0.0469348659003831,0.182950191570881,0.633141762452107,0.0842911877394636,0,0,438.473819862676,"KW","DS","2019-06-11","07:26:00","55","1",7,0,1000,"1000",162,179,2019
"55","COUN_2_17_9",0.112918660287081,0,0,0.0220095693779904,0,0.0162679425837321,0.000956937799043062,0.076555023923445,0.133014354066986,0.129186602870813,0.357894736842105,0.143540669856459,0,0.0076555023923445,325.425721245351,"KW","DS","2019-06-11","09:19:00","52","1",7,1,1000,"1000",162,292,2019
"56","COUN_3_10_10",0,0,0,0,0,0.0144508670520231,0,0.00867052023121387,0.0221579961464355,0.154142581888247,0.728323699421965,0.0703275529865125,0,0.00192678227360308,303.829166209042,"KW","DS","2019-06-05","05:55:00","32","3",3,0,1000,"1000",156,76,2019
"57","COUN_3_10_13",0,0.00289296046287367,0,0,0,0.0144648023143684,0,0,0.0202507232401157,0.357762777242044,0.572806171648988,0.0318225650916104,0,0,273.585262850429,"KW","DS","2019-06-05","06:24:00","36","3",2,0,1000,"1000",156,105,2019
"58","COUN_3_10_14",0.055185537583254,0,0,0,0,0.0114176974310181,0,0,0.0542340627973359,0.235965746907707,0.596574690770695,0.0466222645099905,0,0,6.83152776467374,"KW","DS","2019-06-05","05:07:00","37","3",8,1,1000,"1000",156,28,2019
"59","COUN_3_10_16",0,0.00476644423260248,0,0,0,0.0162059103908484,0,0,0,0.285033365109628,0.641563393708294,0.0524308865586273,0,0,20.0012595085396,"KW","DS","2019-06-05","07:00:00","38","3",1,0,1000,"1000",156,141,2019
"60","COUN_3_10_18",0.314368370298939,0,0.0163934426229508,0.00192864030858245,0,0.0154291224686596,0,0.0347155255544841,0.137897782063645,0.0212150433944069,0.408871745419479,0.0433944069431051,0,0.00578592092574735,35.0585981340451,"KW","DS","2019-06-05","04:38:00","36","3",10,2,1000,"1000",156,-1,2019
"61","COUN_3_10_20",0,0,0,0,0,0.0220517737296261,0,0,0,0.0278044103547459,0.861936720997124,0.0882070949185043,0,0,34.2493632661545,"KW","DS","2019-06-05","07:36:00","37","3",3,0,1000,"1000",156,177,2019
